No,Date,Province,Confirmed
169,03-25-20,Northern Cape,2
170,03-25-20,North West,5
171,03-25-20,Western Cape,183
172,03-26-20,Eastern Cape,5
173,03-26-20,Free State,49
174,03-26-20,Gauteng,409
175,03-26-20,KwaZulu-Natal,134
176,03-26-20,Limpopo,6
177,03-26-20,Mpumalanga,9
178,03-26-20,Northern Cape,2
179,03-26-20,North West,5
180,03-26-20,Western Cape,229
181,03-28-20,Eastern Cape,10
182,03-28-20,Free State,68
183,03-28-20,Gauteng,533
184,03-28-20,KwaZulu-Natal,156
185,03-28-20,Limpopo,11
186,03-28-20,Mpumalanga,10
187,03-28-20,Northern Cape,5
188,03-28-20,North West,6
189,03-28-20,Western Cape,271
190,03-29-20,Eastern Cape,12
191,03-29-20,Free State,72
192,03-29-20,Gauteng,584
193,03-29-20,KwaZulu-Natal,167
194,03-29-20,Limpopo,12
195,03-29-20,Mpumalanga,11
196,03-29-20,Northern Cape,6
197,03-29-20,North West,6
198,03-29-20,Western Cape,310
199,03-30-20,Eastern Cape,12
200,03-30-20,Free State,72
201,03-30-20,Gauteng,618
202,03-30-20,KwaZulu-Natal,171
203,03-30-20,Limpopo,11
204,03-30-20,Mpumalanga,11
205,03-30-20,Northern Cape,3
206,03-30-20,North West,8
207,03-30-20,Western Cape,324
208,03-31-20,Eastern Cape,12
209,03-31-20,Free State,74
210,03-31-20,Gauteng,633
211,03-31-20,KwaZulu-Natal,179
212,03-31-20,Limpopo,14
213,03-31-20,Mpumalanga,12
214,03-31-20,Northern Cape,6
215,03-31-20,North West,8
216,03-31-20,Western Cape,325
217,04-01-20,Eastern Cape,15
218,04-01-20,Free State,76
219,04-01-20,Gauteng,645
220,04-01-20,KwaZulu-Natal,186
221,04-01-20,Limpopo,14
222,04-01-20,Mpumalanga,12
223,04-01-20,Northern Cape,7
224,04-01-20,North West,9
225,04-01-20,Western Cape,326
226,04-02-20,Eastern Cape,17
227,04-02-20,Free State,84
228,04-02-20,Gauteng,663
229,04-02-20,KwaZulu-Natal,206
230,04-02-20,Limpopo,16
231,04-02-20,Mpumalanga,13
232,04-02-20,Northern Cape,7
233,04-02-20,North West,9
234,04-02-20,Western Cape,353
235,04-03-20,Eastern Cape,21
236,04-03-20,Free State,84
237,04-03-20,Gauteng,672
238,04-03-20,KwaZulu-Natal,215
239,04-03-20,Limpopo,16
240,04-03-20,Mpumalanga,13
241,04-03-20,Northern Cape,7
242,04-03-20,North West,9
243,04-03-20,Western Cape,374
244,04-04-20,Eastern Cape,25
245,04-04-20,Free State,85
246,04-04-20,Gauteng,693
247,04-04-20,KwaZulu-Natal,232
248,04-04-20,Limpopo,18
249,04-04-20,Mpumalanga,18
250,04-04-20,Northern Cape,7
251,04-04-20,North West,11
252,04-04-20,Western Cape,433
253,04-05-20,Eastern Cape,31
254,04-05-20,Free State,87
255,04-05-20,Gauteng,704
256,04-05-20,KwaZulu-Natal,246
257,04-05-20,Limpopo,19
258,04-05-20,Mpumalanga,18
259,04-05-20,Northern Cape,8
260,04-05-20,North West,11
261,04-05-20,Western Cape,454
262,04-06-20,Eastern Cape,32
263,04-06-20,Free State,89
264,04-06-20,Gauteng,713
265,04-06-20,KwaZulu-Natal,257
266,04-06-20,Limpopo,19
267,04-06-20,Mpumalanga,18
268,04-06-20,Northern Cape,8
269,04-06-20,North West,11
270,04-06-20,Western Cape,462
271,04-08-20,Eastern Cape,45
272,04-08-20,Free State,88
273,04-08-20,Gauteng,782
274,04-08-20,KwaZulu-Natal,354
275,04-08-20,Limpopo,21
276,04-08-20,Mpumalanga,21
277,04-08-20,Northern Cape,13
278,04-08-20,North West,15
279,04-08-20,Western Cape,495
